ogc_fid,objectid,provinsi,kabupaten,kecamatan,sumber,ruleid,shape_leng,shape_area,bpskodkec,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10
1,24.0,Jawa Barat,Kota Bandung,Bojongloa Kidul,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,4078.3151161041396,700646.19019263,3273040,,,,,,,,,,
2,16.0,Jawa Barat,Kota Bandung,Bandung Kidul,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,6245.667562178523,1835044.0214374894,3273080,,,,,,,,,,
3,7.0,Jawa Barat,Kota Bandung,Babakan Ciparay,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,7533.776901383142,1306331.6837952584,3273020,,,,,,,,,,
4,1.0,Jawa Barat,Kota Bandung,Regol,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,4874.303115765635,787121.2338143842,3273060,,,,,,,,,,
5,46.0,Jawa Barat,Kota Bandung,Panyileukan,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,5275.296955378619,1523128.5937985945,3273111,,,,,,,,,,
6,75.0,Jawa Barat,Kota Bandung,Mandalajati,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,7550.125241079924,1670401.349737402,3273142,,,,,,,,,,
7,29.0,Jawa Barat,Kota Bandung,Cibeunying Kidul,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,3110.884684879223,429562.73218359845,3273210,,,,,,,,,,
8,44.0,Jawa Barat,Kota Bandung,Gedebage,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,8332.92532089109,1896080.342604314,3273101,,,,,,,,,,
9,19.0,Jawa Barat,Kota Bandung,Lengkong,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,3962.5677253428903,465880.9525179358,3273070,,,,,,,,,,
10,51.0,Jawa Barat,Kota Bandung,Sukajadi,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,4503.558882315436,955246.90380283,3273240,,,,,,,,,,
11,6.0,Jawa Barat,Kota Bandung,Cicendo,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,3795.7756560889347,798434.02544,3273190,,,,,,,,,,
12,21.0,Jawa Barat,Kota Bandung,Bandung Kulon,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,6834.858087425408,652324.0439350357,3273010,,,,,,,,,,
13,45.0,Jawa Barat,Kota Bandung,Cibiru,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,7658.824525211312,1337402.4343690379,3273110,,,,,,,,,,
14,67.0,Jawa Barat,Kota Bandung,Sukasari,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,9235.115554078242,1863261.890363166,3273250,,,,,,,,,,
15,37.0,Jawa Barat,Kota Bandung,Bandung Wetan,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,5041.6702857726095,1097144.8618443513,3273200,,,,,,,,,,
16,40.0,Jawa Barat,Kota Bandung,Buahbatu,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,8628.68365627313,1620976.6415850867,3273090,,,,,,,,,,
17,2.0,Jawa Barat,Kota Bandung,Antapani,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,6265.732023556715,1433484.5066316254,3273141,,,,,,,,,,
18,49.0,Jawa Barat,Kota Bandung,Coblong,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,5365.385428085779,688455.6821719789,3273230,,,,,,,,,,
19,31.0,Jawa Barat,Kota Bandung,Cibeunying Kaler,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,10438.4887348017,2427799.206728896,3273220,,,,,,,,,,
20,17.0,Jawa Barat,Kota Bandung,Batununggal,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,4373.475011019728,580077.4226261834,3273160,,,,,,,,,,
21,50.0,Jawa Barat,Kota Bandung,Rancasari,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,7269.213148658398,1996165.7577855138,3273100,,,,,,,,,,
22,20.0,Jawa Barat,Kota Bandung,Andir,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,5915.7423891355265,1049744.1125368327,3273180,,,,,,,,,,
23,12.0,Jawa Barat,Kota Bandung,Kiaracondong,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,5279.088412828338,1136890.8471624246,3273150,,,,,,,,,,
24,23.0,Jawa Barat,Kota Bandung,Astana Anyar,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,3067.4307922228313,483931.7979327806,3273050,,,,,,,,,,
25,9.0,Jawa Barat,Kota Bandung,Sumur Bandung,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,3955.5002860845702,788249.5716831825,3273170,,,,,,,,,,
26,11.0,Jawa Barat,Kota Bandung,Cinambo,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,6979.28251326863,1730973.6346156108,3273121,,,,,,,,,,
27,32.0,Jawa Barat,Kota Bandung,Ujungberung,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,4011.965418556059,844297.0295679333,3273120,,,,,,,,,,
28,55.0,Jawa Barat,Kota Bandung,Arcamanik,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,4955.680403186241,1054745.323361992,3273130,,,,,,,,,,
29,8.0,Jawa Barat,Kota Bandung,Bojongloa Kaler,Kepmendagri Nomor 100.1.1-6117 Tahun 2022,,2924.747121642483,362756.4358861954,3273030,,,,,,,,,,
