id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_rusunawa,alamat,tahun_bangun,keterangan,jumlah,satuan,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,32.73.24,ARCAMANIK,32.73.24,ARCAMANIK,CINGISED,JL. CINGISED NO. 125,2005,JUMLAH UNIT,483,UNIT,2022
2,32,JAWA BARAT,3273,KOTA BANDUNG,32.73.23,RANCASARI,32.73.23,RANCASARI,RANCACILI,JL. BABAKAN KARET NO. 23,2011,JUMLAH UNIT,272,UNIT,2022
3,32,JAWA BARAT,3273,KOTA BANDUNG,32.73.02,COBLONG,32.73.02,COBLONG,SADANG SERANG,JL. TERMINAL SADANG SERANG,2015,JUMLAH UNIT,99,UNIT,2022
4,32,JAWA BARAT,3273,KOTA BANDUNG,32.73.23,RANCASARI,32.73.23,RANCASARI,SILINDER RANCACILI,JL. BABAKAN KARET NO. 23,2010,JUMLAH UNIT,107,UNIT,2022
5,32,JAWA BARAT,3273,KOTA BANDUNG,32.73.24,ARCAMANIK,32.73.24,ARCAMANIK,CINGISED,JL. CINGISED NO. 125,2005,JUMLAH UNIT,483,UNIT,2023
6,32,JAWA BARAT,3273,KOTA BANDUNG,32.73.23,RANCASARI,32.73.23,RANCASARI,RANCACILI,JL. BABAKAN KARET NO. 23,2011,JUMLAH UNIT,272,UNIT,2023
7,32,JAWA BARAT,3273,KOTA BANDUNG,32.73.02,COBLONG,32.73.02,COBLONG,SADANG SERANG,JL. TERMINAL SADANG SERANG,2015,JUMLAH UNIT,99,UNIT,2023
8,32,JAWA BARAT,3273,KOTA BANDUNG,32.73.23,RANCASARI,32.73.23,RANCASARI,SILINDER RANCACILI,JL. BABAKAN KARET NO. 23,2010,JUMLAH UNIT,107,UNIT,2023
9,32,JAWA BARAT,3273,KOTA BANDUNG,32.73.24,ARCAMANIK,32.73.24,ARCAMANIK,CINGISED,JL. CINGISED NO. 125,2005,JUMLAH UNIT,483,UNIT,2024
10,32,JAWA BARAT,3273,KOTA BANDUNG,32.73.23,RANCASARI,32.73.23,RANCASARI,RANCACILI,JL. BABAKAN KARET NO. 23,2011,JUMLAH UNIT,272,UNIT,2024
11,32,JAWA BARAT,3273,KOTA BANDUNG,32.73.02,COBLONG,32.73.02,COBLONG,SADANG SERANG,JL. TERMINAL SADANG SERANG,2015,JUMLAH UNIT,99,UNIT,2024
12,32,JAWA BARAT,3273,KOTA BANDUNG,32.73.23,RANCASARI,32.73.23,RANCASARI,SILINDER RANCACILI,JL. BABAKAN KARET NO. 23,2010,JUMLAH UNIT,107,UNIT,2024
13,32,JAWA BARAT,3273,KOTA BANDUNG,32.73.09,BANDUNG WETAN,32.73.09,BANDUNG WETAN,RUMAH DERET TAMANSARI,JL. KEBON KEMBANG,2024,JUMLAH UNIT,191,UNIT,2024
