id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_komplek_perumahan,jumlah_unit,satuan,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,ANDIR SWADAYA,38,UNIT,2023
2,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,BURUNG TUNGKU,8,UNIT,2023
3,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,CEMPAKA HIJAU,77,UNIT,2023
4,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,KERTA LAKSANA,63,UNIT,2023
5,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,KOMPLEK CENDRAWASIH,63,UNIT,2023
6,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,KOMPLEK DADALI,476,UNIT,2023
7,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,KOMPLEK ELANG,44,UNIT,2023
8,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,KOMPLEK GARUDA,76,UNIT,2023
9,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,KOMPLEK PJKA,402,UNIT,2023
10,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,KOMPLEK SAPTAMARGA,172,UNIT,2023
11,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,MALTRA RESIDEN,79,UNIT,2023
12,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,MY HOME GUNUNG BATU,33,UNIT,2023
13,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,RAJAWALI SAKTI I,142,UNIT,2023
14,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,RAJAWALI SAKTI PERMAI,36,UNIT,2023
15,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,SUDIRMAN SUITES APARTMENT (APARTEMEN),0,UNIT,2023
16,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,SUDIRMAN TOWN HOUSE,78,UNIT,2023
17,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,TAMAN PESONA MEDITERAN,66,UNIT,2023
18,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,ANTAPANI CITY,130,UNIT,2023
19,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,ANTAPANI CITY RESIDENCE,130,UNIT,2023
20,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,ANTAPANI REGENCY,103,UNIT,2023
21,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,ANTAPANI RESIDENCE,30,UNIT,2023
22,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,ANTAPANI TOWNHOUSE,80,UNIT,2023
23,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,APARTEMEN MENARA ANTAPANI (APARTEMEN),0,UNIT,2023
24,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,BUMI MAS KENCANA,105,UNIT,2023
25,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,BUNI SARI ASRI,27,UNIT,2023
26,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,CASA DE ESTA,34,UNIT,2023
27,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,CLUSTER ANTAPANI MAKMUR,21,UNIT,2023
28,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,DE LAVENDER,102,UNIT,2023
29,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,FLORENCE RESIDENCE,26,UNIT,2023
30,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,GRAND ANTAPANI TOWN HOUSE,204,UNIT,2023
31,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,GRIYA BUMI ANTAPANI,5952,UNIT,2023
32,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,KOMPLEK BELLEZA,90,UNIT,2023
33,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,KOMPLEK BOUGENVILLE,158,UNIT,2023
34,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,KOMPLEK HARMONI,15,UNIT,2023
35,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,KOMPLEK KALIJATI,0,UNIT,2023
36,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,KOMPLEK TANJUNGSARI,228,UNIT,2023
37,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,MITRA DAGO PARAHYANGAN,230,UNIT,2023
38,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,MITRA RESIDENCE ANTAPANI,54,UNIT,2023
39,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,MUTIARA ANTAPANI,48,UNIT,2023
40,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,PARADISE REGENCY,100,UNIT,2023
41,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,PARAKAN MAS,342,UNIT,2023
42,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,PELANGI ANTAPANI,500,UNIT,2023
43,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,PRATISTA ANTAPANI,150,UNIT,2023
44,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,PRATISTA II,408,UNIT,2023
45,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,PURI DAGO ASRI,429,UNIT,2023
46,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,PURI DAGO MAS,729,UNIT,2023
47,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,PURI PERMATA,85,UNIT,2023
48,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,SETRA DAGO,549,UNIT,2023
49,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,SETRA MAKMUR,17,UNIT,2023
50,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,SINDANG SARI ASRI,64,UNIT,2023
51,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,SINDANG SARI ASRI II,48,UNIT,2023
52,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,SWEET ANTAPANI RESIDENCE,117,UNIT,2023
53,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,TANJUNG SARI ASRI RESIDENCE,250,UNIT,2023
54,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,THE MANSION,66,UNIT,2023
55,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,ALFA GARDEN,12,UNIT,2023
56,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,ANTA BARU II,155,UNIT,2023
57,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,APARTEMEN PANORAMIC (APARTEMEN),0,UNIT,2023
58,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,CISARANTEN LNDAH,82,UNIT,2023
59,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,CLUSTER CISARANTEN,0,UNIT,2023
60,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,CLUSTER KINARASTI,0,UNIT,2023
61,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,CLUSTER PAWENANG,125,UNIT,2023
62,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,D' CASA GRANDE,60,UNIT,2023
63,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,DE LA ROSE,40,UNIT,2023
64,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,EDELWEISS TOWNHOUSE,0,UNIT,2023
65,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,EVERGREEN TOWNHOUSE,50,UNIT,2023
66,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,GANDASARI RESIDENCE,6,UNIT,2023
67,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,GRAND PINUS REGENCY,1749,UNIT,2023
68,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,GREEN CARAKA,167,UNIT,2023
69,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,GREEN CISARANTEN,0,UNIT,2023
70,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,GRIYA ASRI,70,UNIT,2023
71,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,GRIYA CARAKA,500,UNIT,2023
72,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,INDAH MULIA,11,UNIT,2023
73,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,KAMAYANGAN RESIDENCE,215,UNIT,2023
74,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,KAWALI ESTATE,6,UNIT,2023
75,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,KOMPLEK AMARILIS,11,UNIT,2023
76,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,KOMPLEK CISARANTEN,0,UNIT,2023
77,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,KOMPLEK GURUMINDA,250,UNIT,2023
78,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,KOMPLEK NIRWANA,60,UNIT,2023
79,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,KOMPLEK PRANAYA,50,UNIT,2023
80,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,MEDINA ANTAPANI MAKMUR,38,UNIT,2023
81,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,MITRA MANUNGGAL,16,UNIT,2023
82,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,MY HOME ARCAMANIK,95,UNIT,2023
83,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,PANORAMA ALAM PARAHYANGAN,90,UNIT,2023
84,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,PARAKAN ASRI,85,UNIT,2023
85,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,PARAKAN AYU,315,UNIT,2023
86,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,PERMATA ARCAMANIK,80,UNIT,2023
87,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,PERMATA LNDAH ARCAMANIK,49,UNIT,2023
88,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,PERMATA MULYA RESIDENCE,25,UNIT,2023
89,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,PESONA ARCAMANIK PERMAI,125,UNIT,2023
90,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,PESONA CISARANTEN INDAH,134,UNIT,2023
91,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,PURI AYU PRATAMA,140,UNIT,2023
92,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,PURI CISARANTEN,0,UNIT,2023
93,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,PURI DAGO,390,UNIT,2023
94,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,PUTERACO GADING REGENCY,320,UNIT,2023
95,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,SARIMAS REGENCY,250,UNIT,2023
