id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_desa_kelurahan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kemendagri_kode_desa_kelurahan,kemendagri_nama_desa_kelurahan,lokasi_rth,jenis_rth,luas_rth,satuan,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,3273220001,CIHAURGEULIS,32.73.18,CIBEUNYING KALER,32.73.18.1001,CIHAUR GEULIS,TAMAN KAMPUNG SABLON,TAMAN  RW,20,METER PERSEGI,2020
2,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,3273220001,CIHAURGEULIS,32.73.18,CIBEUNYING KALER,32.73.18.1001,CIHAUR GEULIS,TAMAN PANINEUNGAN,TAMAN  RW,25,METER PERSEGI,2020
3,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,3273220001,CIHAURGEULIS,32.73.18,CIBEUNYING KALER,32.73.18.1001,CIHAUR GEULIS,RW 04 TAMAN BEJO,TAMAN  RW,15,METER PERSEGI,2020
4,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,3273220002,SUKALUYU,32.73.18,CIBEUNYING KALER,32.73.18.1002,SUKALUYU,TAMAN LANSIA,TAMAN  RW,47,METER PERSEGI,2020
5,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,3273220002,SUKALUYU,32.73.18,CIBEUNYING KALER,32.73.18.1002,SUKALUYU,RW 05 TAMAN GAGAK,TAMAN  RW,12,METER PERSEGI,2020
6,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,3273220002,SUKALUYU,32.73.18,CIBEUNYING KALER,32.73.18.1002,SUKALUYU,RW 08 TAMAN BEJO,TAMAN  RW,10,METER PERSEGI,2020
7,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,3273220003,NEGLASARI,32.73.18,CIBEUNYING KALER,32.73.18.1003,NEGLASARI,RW 07 TAMAN KUNANG-KUNANG,TAMAN  RW,35,METER PERSEGI,2020
8,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,3273220003,NEGLASARI,32.73.18,CIBEUNYING KALER,32.73.18.1003,NEGLASARI,TAMAN BALAI RW 02,TAMAN  RW,120,METER PERSEGI,2020
9,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,3273220003,NEGLASARI,32.73.18,CIBEUNYING KALER,32.73.18.1003,NEGLASARI,RW 02 TAMAN BEJO,TAMAN  RW,15,METER PERSEGI,2020
10,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,3273220003,NEGLASARI,32.73.18,CIBEUNYING KALER,32.73.18.1003,NEGLASARI,RW 06 TAMAN BEJO,TAMAN  RW,12,METER PERSEGI,2020
