id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_desa_kelurahan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kemendagri_kode_desa_kelurahan,kemendagri_nama_desa_kelurahan,lokasi_rth,jenis_rth,luas_rth,satuan,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,3273180001,CAMPAKA,32.73.05,ANDIR,32.73.05.1006,CAMPAKA,TAMAN CIMINDI,TAMAN,500.0,METER PERSEGI,2018
2,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,3273180001,CAMPAKA,32.73.05,ANDIR,32.73.05.1006,CAMPAKA,BOJONG KONENG RW 06,TANAH MILIK PROVINSI DAN MASYARAKAT,5000.0,METER PERSEGI,2018
3,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,3273180001,CAMPAKA,32.73.05,ANDIR,32.73.05.1006,CAMPAKA,BPK PENABUR JL. RAYA CIBEUREUM NO. 90,TANAH YAYASAN BPK PENABUR,20000.0,METER PERSEGI,2018
4,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,3273180002,MALEBER,32.73.05,ANDIR,32.73.05.1001,MALEBER,JL. SRIGUNTING II RT 04 RW 07,KEBUN,3.0,METER PERSEGI,2018
5,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,3273180002,MALEBER,32.73.05,ANDIR,32.73.05.1001,MALEBER,JL. MALEBER BARAT RW 03,LAPANG DAN TAMAN,10.0,METER PERSEGI,2018
6,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,3273180002,MALEBER,32.73.05,ANDIR,32.73.05.1001,MALEBER,JL. KEHUTANAN RW 06,LAPANG DAN TAMAN,15.0,METER PERSEGI,2018
7,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,3273180001,CAMPAKA,32.73.05,ANDIR,32.73.05.1006,CAMPAKA,TAMAN CIMINDI,TAMAN,500.0,METER PERSEGI,2019
8,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,3273180001,CAMPAKA,32.73.05,ANDIR,32.73.05.1006,CAMPAKA,BOJONG KONENG RW.06,TANAH MILIK PROVINSI DAN MASYARAKAT,5000.0,METER PERSEGI,2019
9,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,3273180001,CAMPAKA,32.73.05,ANDIR,32.73.05.1006,CAMPAKA,BPK PENABUR JL. RAYA CIBEUREUM NO. 90,TANAH YAYASAN BPK PENABUR,20000.0,METER PERSEGI,2019
10,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,3273180002,MALEBER,32.73.05,ANDIR,32.73.05.1001,MALEBER,JL. SRIGUNTING II RT 04/07,KEBUN,3.0,METER PERSEGI,2019
