id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_desa_kelurahan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kemendagri_kode_desa_kelurahan,kemendagri_nama_desa_kelurahan,lokasi_rth,jenis_rth,luas_rth,satuan,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,32.73.20,ANTAPANI,32.73.20.1005,ANTAPANI KIDUL,RW 01,TAMAN RW 01,700.0,METER PERSEGI,2019
2,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,32.73.20,ANTAPANI,32.73.20.1005,ANTAPANI KIDUL,RW 02,LAPANGAN & GEDUNG SERBAGUNA RW 02,300.0,METER PERSEGI,2019
3,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,32.73.20,ANTAPANI,32.73.20.1005,ANTAPANI KIDUL,RW 03,LAPANGAN - TAMAN BERMAIN & GEDUNG SERBAGUNA RW 03,200.0,METER PERSEGI,2019
4,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,32.73.20,ANTAPANI,32.73.20.1005,ANTAPANI KIDUL,RW 04,LAPANGAN & GEDUNG SERBAGUNA RW 04,200.0,METER PERSEGI,2019
5,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,32.73.20,ANTAPANI,32.73.20.1005,ANTAPANI KIDUL,RW 05,LAPANGAN & GEDUNG SERBAGUNA RW 05,500.0,METER PERSEGI,2019
6,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,32.73.20,ANTAPANI,32.73.20.1005,ANTAPANI KIDUL,RW 06,LAPANGAN - TAMAN BERMAIN & GEDUNG SERBAGUNA RW 06,200.0,METER PERSEGI,2019
7,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,32.73.20,ANTAPANI,32.73.20.1005,ANTAPANI KIDUL,RW 07,LAPANGAN - TAMAN BERMAIN & GEDUNG SERBAGUNA RW 07,550.0,METER PERSEGI,2019
8,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,32.73.20,ANTAPANI,32.73.20.1005,ANTAPANI KIDUL,RW 08,LAPANGAN - TAMAN BERMAIN & GEDUNG SERBAGUNA RW 08,70.0,METER PERSEGI,2019
9,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,32.73.20,ANTAPANI,32.73.20.1005,ANTAPANI KIDUL,RW 09,LAPANGAN - TAMAN BERMAIN & GEDUNG SERBAGUNA RW 09,400.0,METER PERSEGI,2019
10,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,32.73.20,ANTAPANI,32.73.20.1005,ANTAPANI KIDUL,RW 10,LAPANGAN & GEDUNG SERBAGUNA RW 10,350.0,METER PERSEGI,2019
11,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,32.73.20,ANTAPANI,32.73.20.1005,ANTAPANI KIDUL,RW 11,LAPANGAN - TAMAN BERMAIN & GEDUNG SERBAGUNA RW 11,400.0,METER PERSEGI,2019
12,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,32.73.20,ANTAPANI,32.73.20.1005,ANTAPANI KIDUL,RW 12,LAPANGAN - TAMAN BERMAIN & GEDUNG SERBAGUNA RW 12,300.0,METER PERSEGI,2019
13,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,32.73.20,ANTAPANI,32.73.20.1005,ANTAPANI KIDUL,RW 15,LAPANGAN - TAMAN BERMAIN & GEDUNG SERBAGUNA RW 15,500.0,METER PERSEGI,2019
14,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141001,ANTAPANI KIDUL,32.73.20,ANTAPANI,32.73.20.1005,ANTAPANI KIDUL,RW 18,LAPANGAN & GEDUNG SERBAGUNA RW 18,300.0,METER PERSEGI,2019
15,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141004,ANTAPANI KULON,32.73.20,ANTAPANI,32.73.20.1001,ANTAPANI KULON,JL. KALIJATI,-,400.0,METER PERSEGI,2019
16,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141004,ANTAPANI KULON,32.73.20,ANTAPANI,32.73.20.1001,ANTAPANI KULON,JL. JAKARTA,-,400.0,METER PERSEGI,2019
17,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141002,ANTAPANI TENGAH,32.73.20,ANTAPANI,32.73.20.1004,ANTAPANI TENGAH,JL. TERUSAN JAKARTA,-,15.0,METER PERSEGI,2019
18,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141002,ANTAPANI TENGAH,32.73.20,ANTAPANI,32.73.20.1004,ANTAPANI TENGAH,JL. SUBANG,-,60.0,METER PERSEGI,2019
19,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141002,ANTAPANI TENGAH,32.73.20,ANTAPANI,32.73.20.1004,ANTAPANI TENGAH,JL. JATIWANGI RAYA,-,30.0,METER PERSEGI,2019
20,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141002,ANTAPANI TENGAH,32.73.20,ANTAPANI,32.73.20.1004,ANTAPANI TENGAH,JL. ANTAPANI LAMA,-,10.0,METER PERSEGI,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141002,ANTAPANI TENGAH,32.73.20,ANTAPANI,32.73.20.1004,ANTAPANI TENGAH,JL. SUBANG 4,-,60.0,METER PERSEGI,2019
22,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141002,ANTAPANI TENGAH,32.73.20,ANTAPANI,32.73.20.1004,ANTAPANI TENGAH,JL. PURWAKARTA,-,2000.0,METER PERSEGI,2019
23,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141002,ANTAPANI TENGAH,32.73.20,ANTAPANI,32.73.20.1004,ANTAPANI TENGAH,JL. PURWAKARTA,-,120.0,METER PERSEGI,2019
24,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141002,ANTAPANI TENGAH,32.73.20,ANTAPANI,32.73.20.1004,ANTAPANI TENGAH,JL. ATH,-,30.0,METER PERSEGI,2019
25,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141002,ANTAPANI TENGAH,32.73.20,ANTAPANI,32.73.20.1004,ANTAPANI TENGAH,JL. PURIDAGO,-,30.0,METER PERSEGI,2019
26,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141002,ANTAPANI TENGAH,32.73.20,ANTAPANI,32.73.20.1004,ANTAPANI TENGAH,KOMPLEK ALAM MELATI,-,45.0,METER PERSEGI,2019
27,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141003,ANTAPANI WETAN,32.73.20,ANTAPANI,32.73.20.1006,ANTAPANI WETAN,JL. MAJALAYA 3,LAPANG BOLLA VOLLEY,70.0,METER PERSEGI,2019
28,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141003,ANTAPANI WETAN,32.73.20,ANTAPANI,32.73.20.1006,ANTAPANI WETAN,JL. MALANGBONG 5,LAPANG BOLLA VOLLEY,65.0,METER PERSEGI,2019
29,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141003,ANTAPANI WETAN,32.73.20,ANTAPANI,32.73.20.1006,ANTAPANI WETAN,JL. TANJUNGSARI,LAPANG BULU TANGKIS,25.0,METER PERSEGI,2019
30,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141003,ANTAPANI WETAN,32.73.20,ANTAPANI,32.73.20.1006,ANTAPANI WETAN,JL. TANJUNGSARI ASRI 03,TAMAN,30.0,METER PERSEGI,2019
31,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141003,ANTAPANI WETAN,32.73.20,ANTAPANI,32.73.20.1006,ANTAPANI WETAN,JL. TANJUNGSARI ASRI RAYA,TAMAN,30.0,METER PERSEGI,2019
32,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141003,ANTAPANI WETAN,32.73.20,ANTAPANI,32.73.20.1006,ANTAPANI WETAN,JL. BUNISARI,LAPANG BOLLA VOLLEY,20.0,METER PERSEGI,2019
33,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141003,ANTAPANI WETAN,32.73.20,ANTAPANI,32.73.20.1006,ANTAPANI WETAN,KOMP. TANJUNGSARI RESIDEN,TAMAN,25.0,METER PERSEGI,2019
34,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141003,ANTAPANI WETAN,32.73.20,ANTAPANI,32.73.20.1006,ANTAPANI WETAN,JL. SINDANGSARI I,TANAH PENDUDUK,20.0,METER PERSEGI,2019
35,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141003,ANTAPANI WETAN,32.73.20,ANTAPANI,32.73.20.1006,ANTAPANI WETAN,JL. SINDANGSARI III,TAMAN PAUD,15.0,METER PERSEGI,2019
36,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141003,ANTAPANI WETAN,32.73.20,ANTAPANI,32.73.20.1006,ANTAPANI WETAN,JL. SINDANGSARI III,LAPANG BOLLA VOLLEY,20.0,METER PERSEGI,2019
37,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141003,ANTAPANI WETAN,32.73.20,ANTAPANI,32.73.20.1006,ANTAPANI WETAN,JL. SINDANGSARI II,LAPANG PUTSAL,40.0,METER PERSEGI,2019
38,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141003,ANTAPANI WETAN,32.73.20,ANTAPANI,32.73.20.1006,ANTAPANI WETAN,KOMP. MITRA DAGO,LAPANG TENIS,30.0,METER PERSEGI,2019
39,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141003,ANTAPANI WETAN,32.73.20,ANTAPANI,32.73.20.1006,ANTAPANI WETAN,KOMP. MITRA DAGO,TAMAN,40.0,METER PERSEGI,2019
40,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141003,ANTAPANI WETAN,32.73.20,ANTAPANI,32.73.20.1006,ANTAPANI WETAN,RW 01,TAMAN LINGKUNGAN,10.0,METER PERSEGI,2019
41,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141003,ANTAPANI WETAN,32.73.20,ANTAPANI,32.73.20.1006,ANTAPANI WETAN,RW 02,TAMAN LINGKUNGAN,12.0,METER PERSEGI,2019
42,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,3273141003,ANTAPANI WETAN,32.73.20,ANTAPANI,32.73.20.1006,ANTAPANI WETAN,RW 03,TAMAN LINGKUNGAN,15.0,METER PERSEGI,2019
