id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_desa_kelurahan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kemendagri_kode_desa_kelurahan,kemendagri_nama_desa_kelurahan,lokasi_rth,jenis_rth,luas_rth,satuan,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,3273142004,PASIR IMPUN,32.73.30,MANDALAJATI,32.73.30.1003,PASIR IMPUN,RW 09,TAMAN TERBUKA,2000,METER PERSEGI,2019
2,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,3273142002,KARANG PAMULANG,32.73.30,MANDALAJATI,32.73.30.1002,KARANG PAMULANG,RW 12,SAWAH,650,METER PERSEGI,2019
3,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,3273142002,KARANG PAMULANG,32.73.30,MANDALAJATI,32.73.30.1002,KARANG PAMULANG,RW 05,SAWAH,2500,METER PERSEGI,2019
4,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,3273142002,KARANG PAMULANG,32.73.30,MANDALAJATI,32.73.30.1002,KARANG PAMULANG,RW 05,LAHAN KOSONG,120,METER PERSEGI,2019
5,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,3273142002,KARANG PAMULANG,32.73.30,MANDALAJATI,32.73.30.1002,KARANG PAMULANG,RW 04,TAMAN,200,METER PERSEGI,2019
6,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,3273142001,JATIHANDAP,32.73.30,MANDALAJATI,32.73.30.1001,JATIHANDAP,RW 10,KEBUN JAGUNG,3000,METER PERSEGI,2019
7,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,3273142003,SINDANG JAYA,32.73.30,MANDALAJATI,32.73.30.1004,SINDANG JAYA,RW 03,TAMAN,500,METER PERSEGI,2019
8,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,3273142004,PASIR IMPUN,32.73.30,MANDALAJATI,32.73.30.1003,PASIR IMPUN,RW 09,TAMAN TERBUKA,2000,METER PERSEGI,2020
9,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,3273142002,KARANG PAMULANG,32.73.30,MANDALAJATI,32.73.30.1002,KARANG PAMULANG,RW 12,SAWAH,650,METER PERSEGI,2020
10,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,3273142002,KARANG PAMULANG,32.73.30,MANDALAJATI,32.73.30.1002,KARANG PAMULANG,RW 05,SAWAH,2500,METER PERSEGI,2020
11,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,3273142002,KARANG PAMULANG,32.73.30,MANDALAJATI,32.73.30.1002,KARANG PAMULANG,RW 05,LAHAN KOSONG,120,METER PERSEGI,2020
12,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,3273142002,KARANG PAMULANG,32.73.30,MANDALAJATI,32.73.30.1002,KARANG PAMULANG,RW 04,TAMAN,200,METER PERSEGI,2020
13,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,3273142001,JATIHANDAP,32.73.30,MANDALAJATI,32.73.30.1001,JATIHANDAP,RW 10,KEBUN JAGUNG,3000,METER PERSEGI,2020
14,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,3273142003,SINDANG JAYA,32.73.30,MANDALAJATI,32.73.30.1004,SINDANG JAYA,RW 03,TAMAN,500,METER PERSEGI,2020
15,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,3273142001,JATIHANDAP,32.73.30,MANDALAJATI,32.73.30.1001,JATIHANDAP,RT 06 RW 14,EKS TPS CICABE,39000,METER PERSEGI,2021
16,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,3273142001,JATIHANDAP,32.73.30,MANDALAJATI,32.73.30.1001,JATIHANDAP,RT 03 RW 09,TANAH KOSONG,1472,METER PERSEGI,2021
17,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,3273142001,JATIHANDAP,32.73.30,MANDALAJATI,32.73.30.1001,JATIHANDAP,RT 07 RW 13,TAMAN BERMAIN,210,METER PERSEGI,2021
18,32,JAWA BARAT,3273,KOTA BANDUNG,3273142,MANDALAJATI,3273142002,KARANG PAMULANG,32.73.30,MANDALAJATI,32.73.30.1002,KARANG PAMULANG,RW 12,SAWAH,650,METER PERSEGI,2021
