id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,jenis_rth,keterangan,luas_rth,satuan,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,TAMAN KOTA,PADA TAHUN 2018 TERDAPAT PENAMBAHAN DARI PEMBANGUNAN TAMAN RW SELUAS 7864.89 M2 (0.79 HA),216.38,HEKTAR,2018
2,32,JAWA BARAT,3273,KOTA BANDUNG,KEBUN BIBIT,-,1.69,HEKTAR,2018
3,32,JAWA BARAT,3273,KOTA BANDUNG,RTH PEMAKAMAN,PADA TAHUN 2015 ADA PENAMBAHAN LAHAN MAKAM SEBESAR 1548 M2 PARTISIPASI DEVELOPER,148.39,HEKTAR,2018
4,32,JAWA BARAT,3273,KOTA BANDUNG,TEGANGAN TINGGI,-,10.17,HEKTAR,2018
5,32,JAWA BARAT,3273,KOTA BANDUNG,SEMPADAN SUNGAI,PENAMBAHAN DARI RTH EKS KEBON BIBIT PASIRLUYU SELUAS 4.95 HA,23.26,HEKTAR,2018
6,32,JAWA BARAT,3273,KOTA BANDUNG,JALUR HIJAU JALAN,-,176.91,HEKTAR,2018
7,32,JAWA BARAT,3273,KOTA BANDUNG,SEMPADAN KERETA API,-,6.42,HEKTAR,2018
8,32,JAWA BARAT,3273,KOTA BANDUNG,HUTAN KONSERVASI,TAHURA DJUANDA DAN PLTA DAGO BENGKOK,4.12,HEKTAR,2018
9,32,JAWA BARAT,3273,KOTA BANDUNG,PENANGANAN LAHAN KRITIS,-,416.92,HEKTAR,2018
10,32,JAWA BARAT,3273,KOTA BANDUNG,RTH DARI BAG. ASET,TAHUN 2018 TERDAPAT PENAMBAHAN LAHAN RTH DARI PENGADAAN LAHAN UNTUK TAMAN BERMAIN SELUAS 707 M2 (0.07 HA),78.83,HEKTAR,2018
11,32,JAWA BARAT,3273,KOTA BANDUNG,TAMAN KOTA,PADA TAHUN 2019 TERDAPAT PENAMBAHAN DARI PEMBANGUNAN TAMAN RW SELUAS 2.088 M2 (0.21HA),216.59,HEKTAR,2019
12,32,JAWA BARAT,3273,KOTA BANDUNG,KEBUN BIBIT,-,1.69,HEKTAR,2019
13,32,JAWA BARAT,3273,KOTA BANDUNG,RTH PEMAKAMAN,"PADA TAHUN 2015 TERDAPAT PENAMBAHAN LAHAN MAKAM SEBESAR 1548 M2
  (PARTISIPASI DEVELOPER)",148.39,HEKTAR,2019
14,32,JAWA BARAT,3273,KOTA BANDUNG,TEGANGAN TINGGI,-,10.17,HEKTAR,2019
15,32,JAWA BARAT,3273,KOTA BANDUNG,SEMPADAN SUNGAI,PENAMBAHAN DARI RTH EKS KEBON BIBIT PASIRLUYU SELUAS 4.95 HA,23.26,HEKTAR,2019
16,32,JAWA BARAT,3273,KOTA BANDUNG,JALUR HIJAU JALAN,-,176.91,HEKTAR,2019
17,32,JAWA BARAT,3273,KOTA BANDUNG,SEMPADAN KERETA API,-,6.42,HEKTAR,2019
18,32,JAWA BARAT,3273,KOTA BANDUNG,HUTAN KONSERVASI,TAHURA DJUANDA DAN PLTA DAGO BENGKOK,4.12,HEKTAR,2019
19,32,JAWA BARAT,3273,KOTA BANDUNG,PENANGANAN LAHAN KRITIS,-,416.92,HEKTAR,2019
20,32,JAWA BARAT,3273,KOTA BANDUNG,RTH DARI BAG. ASET,TAHUN 2019 TERDAPAT PENAMBAHAN LAHAN RTH DARI PENGADAAN LAHAN UNTUK RTH SELUAS 17.513 M2 (1.75 HA),80.58,HEKTAR,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,TAMAN KOTA,PADA TAHUN 2020 TERDAPAT PENAMBAHAN DARI PEMBANGUNAN TAMAN RW SELUAS 366 M2 (0.0366 HA),216.63,HEKTAR,2020
22,32,JAWA BARAT,3273,KOTA BANDUNG,KEBUN BIBIT,-,1.69,HEKTAR,2020
23,32,JAWA BARAT,3273,KOTA BANDUNG,RTH PEMAKAMAN,PADA TAHUN 2015 TERDAPAT PENAMBAHAN LAHAN MAKAM SEBESAR 1548 M2 (PARTISIPASI DEVELOPER),148.39,HEKTAR,2020
24,32,JAWA BARAT,3273,KOTA BANDUNG,TEGANGAN TINGGI,-,10.17,HEKTAR,2020
25,32,JAWA BARAT,3273,KOTA BANDUNG,SEMPADAN SUNGAI,PENAMBAHAN DARI RTH EKS KEBON BIBIT PASIRLUYU SELUAS 4.95 HA,23.26,HEKTAR,2020
26,32,JAWA BARAT,3273,KOTA BANDUNG,JALUR HIJAU JALAN,-,176.91,HEKTAR,2020
27,32,JAWA BARAT,3273,KOTA BANDUNG,SEMPADAN KERETA API,-,6.42,HEKTAR,2020
28,32,JAWA BARAT,3273,KOTA BANDUNG,HUTAN KONSERVASI,TAHURA DJUANDA DAN PLTA DAGO BENGKOK,4.12,HEKTAR,2020
29,32,JAWA BARAT,3273,KOTA BANDUNG,PENANGANAN LAHAN KRITIS,-,416.92,HEKTAR,2020
30,32,JAWA BARAT,3273,KOTA BANDUNG,RTH DARI BAG. ASET,TAHUN 2020 TERDAPAT PENAMBAHAN LAHAN RTH DARI SERAH TERIMA PSU UNTUK RTH SELUAS 54.522 M2 (5.45 HA),86.0322,HEKTAR,2020
31,32,JAWA BARAT,3273,KOTA BANDUNG,TAMAN KOTA,"- PENAMBAHAN TAHUN 2021 DARI PEMBANGUNAN TAMAN RW SELUAS 2.430,28 M2 (0,24 HA)
- PENAMBAHAN TAHUN 2021 LAHAN RTH DARI SERAH TERIMA PSU UNTUK RTH SELUAS 5,5 HA",227.82,HEKTAR,2021
32,32,JAWA BARAT,3273,KOTA BANDUNG,KEBUN BIBIT,-,1.69,HEKTAR,2021
33,32,JAWA BARAT,3273,KOTA BANDUNG,RTH PEMAKAMAN,"PADA TAHUN 2021 ADA PENAMBAHAN LAHAN MAKAM SEBESAR 7.275M2 (0,73 HA) DARI SERAH TERIMA PSU",149.98,HEKTAR,2021
34,32,JAWA BARAT,3273,KOTA BANDUNG,TEGANGAN TINGGI,-,10.17,HEKTAR,2021
35,32,JAWA BARAT,3273,KOTA BANDUNG,SEMPADAN SUNGAI,PENAMBAHAN DARI RTH EKS KEBON BIBIT PASIRLUYU SELUAS 4.95 HA,23.26,HEKTAR,2021
36,32,JAWA BARAT,3273,KOTA BANDUNG,JALUR HIJAU JALAN,-,176.91,HEKTAR,2021
37,32,JAWA BARAT,3273,KOTA BANDUNG,SEMPADAN KERETA API,-,6.42,HEKTAR,2021
38,32,JAWA BARAT,3273,KOTA BANDUNG,HUTAN KONSERVASI,TAHURA DJUANDA DAN PLTA DAGO BENGKOK,4.12,HEKTAR,2021
39,32,JAWA BARAT,3273,KOTA BANDUNG,PENANGANAN LAHAN KRITIS,-,416.92,HEKTAR,2021
40,32,JAWA BARAT,3273,KOTA BANDUNG,RTH DARI BAG. ASET,"- INVENTARISASI DATA RTH BIDANG ASET BPKA TAHUN 2019=100,11 HA
- PENGURANG=PENAMBAHAN TAMAN RW
TAHUN 2020 DAN 2021 SERTA PSU LAHAN
MAKAM=0,0366+0,24+1.59=1,86 HA SEHINGGA ASET RTH PEMKOT BANDUNG BERKURANG MENJADI 100,11-1,86=98,25",98.25,HEKTAR,2021
41,32,JAWA BARAT,3273,KOTA BANDUNG,RTH PRIVAT,,958.47,HEKTAR,2022
42,32,JAWA BARAT,3273,KOTA BANDUNG,TAMAN KOTA,"- PENAMBAHAN TAHUN 2022 DARI
PEMBANGUNAN TAMAN RW SELUAS 1.462,15 M2 (0,15) HA.
- PENAMBAHAN TAHUN 2022 DARI SERAH TERIMA
PSU UNTUK RTH SELUAS 63.152,37 M2 (6,31
HA)",234.28,HEKTAR,2022
43,32,JAWA BARAT,3273,KOTA BANDUNG,KEBUN BIBIT,-,1.69,HEKTAR,2022
44,32,JAWA BARAT,3273,KOTA BANDUNG,RTH PEMAKAMAN,-,149.98,HEKTAR,2022
45,32,JAWA BARAT,3273,KOTA BANDUNG,TEGANGAN TINGGI,-,10.17,HEKTAR,2022
46,32,JAWA BARAT,3273,KOTA BANDUNG,SEMPADAN SUNGAI,-,23.26,HEKTAR,2022
47,32,JAWA BARAT,3273,KOTA BANDUNG,JALUR HIJAU JALAN,-,176.91,HEKTAR,2022
48,32,JAWA BARAT,3273,KOTA BANDUNG,SEMPADAN KERETA API,-,6.42,HEKTAR,2022
49,32,JAWA BARAT,3273,KOTA BANDUNG,HUTAN KONSERVASI,-,4.12,HEKTAR,2022
50,32,JAWA BARAT,3273,KOTA BANDUNG,PENANGANAN LAHAN KRITIS,-,416.92,HEKTAR,2022
51,32,JAWA BARAT,3273,KOTA BANDUNG,RTH DARI BAG. ASET,"- PADA TAHUN 2022 ADA PENAMBAHAN LAHAN MAKAM SELUAS 4.440 M2. (0,44 HA) DARI PENGADAAN LAHAN SERTA PENAMBAHAN DARI PENGADAAN LAHAN UNTUK TAMAN BERMAIN SELUAS 4.197 M2 (0,42 HA).
- PENGURANG DI TAHUN 2022 BERASAL DARI
PEMBANGUNAN TAMAN RW SELUAS 1.462,15 M2 (0,15) HA",98.96,HEKTAR,2022
52,32,JAWA BARAT,3273,KOTA BANDUNG,TAMAN KOTA,"- PENAMBAHAN TAHUN 2023 DARI PEMBANGUNAN TAMAN RW SELUAS 3.811 M2 (0,38 HA).
- PENAMBAHAN TAHUN 2023 DARI SERAH TERIMA PSU UNTUK
RTH SELUAS 45.438,87 M2 (4,54 HA).
- PENAMBAHAN TAHUN 2023 DARI PEMBANGUNAN TAMAN
KEANEKARAGAMAN HAYATI SELUAS 46.570 M2 (4,66 HA).",243.86,HEKTAR,2023
53,32,JAWA BARAT,3273,KOTA BANDUNG,KEBUN BIBIT,-,1.69,HEKTAR,2023
54,32,JAWA BARAT,3273,KOTA BANDUNG,RTH PEMAKAMAN,"PADA TAHUN 2023 ADA PEMUTAKHIRAN DATA LAHAN MAKAM SELUAS 1.535.141 M2 (153,51 HA) PADA 13 TPU SEHINGGA ADA PENAMBAHAN DARI PENGADAAN LAHAN MAKAM SEBESAR 4.440 M2 (0,44 HA).",153.51,HEKTAR,2023
55,32,JAWA BARAT,3273,KOTA BANDUNG,TEGANGAN TINGGI,-,10.17,HEKTAR,2023
56,32,JAWA BARAT,3273,KOTA BANDUNG,SEMPADAN SUNGAI,-,23.26,HEKTAR,2023
57,32,JAWA BARAT,3273,KOTA BANDUNG,JALUR HIJAU JALAN,-,176.91,HEKTAR,2023
58,32,JAWA BARAT,3273,KOTA BANDUNG,SEMPADAN KERETA API,-,6.42,HEKTAR,2023
59,32,JAWA BARAT,3273,KOTA BANDUNG,HUTAN KONSERVASI,-,4.12,HEKTAR,2023
