id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_desa_kelurahan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kemendagri_kode_desa_kelurahan,kemendagri_nama_desa_kelurahan,lokasi_rth,jenis_rth,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,"3,27E+09",KEBON WARU,32.73.12,BATUNUNGGAL,32.73.12.1005,KEBONWARU,TAMAN ASIA AFRIKA JL. JAKARTA,TAMAN,2018
2,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,"3,27E+09",KEBON WARU,32.73.12,BATUNUNGGAL,32.73.12.1005,KEBONWARU,RW 04,TAMAN ANYER,2018
3,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,"3,27E+09",KEBON WARU,32.73.12,BATUNUNGGAL,32.73.12.1005,KEBONWARU,RW 08,TAMAN KIARA PARK,2018
4,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,"3,27E+09",KACAPIRING,32.73.12,BATUNUNGGAL,32.73.12.1004,KACAPIRING,RW 08,TAMAN RW,2018
5,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,"3,27E+09",KACAPIRING,32.73.12,BATUNUNGGAL,32.73.12.1004,KACAPIRING,LAPANGAN SIDOLIG,SARANA OLAHRAGA,2018
6,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,"3,27E+09",KACAPIRING,32.73.12,BATUNUNGGAL,32.73.12.1004,KACAPIRING,LAHAN PJKA JL. SUKABUMI - JL. LASWI,,2018
7,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,"3,27E+09",GUMURUH,32.73.12,BATUNUNGGAL,32.73.12.1001,GUMURUH,RT 09 RW 06,TAMAN HERBAL HEJO,2018
8,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,"3,27E+09",GUMURUH,32.73.12,BATUNUNGGAL,32.73.12.1001,GUMURUH,RT 07 RW 05,TAMAN SIWAL,2018
9,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,"3,27E+09",GUMURUH,32.73.12,BATUNUNGGAL,32.73.12.1001,GUMURUH,TPU GUMURUH,PEMAKAMAN,2018
10,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,"3,27E+09",MALEER,32.73.12,BATUNUNGGAL,32.73.12.1002,MALEER,RW 03,TAMAN RW,2018
